Dataset,Subset,Smoothness,Integer Percentage,Average Run Length,Gorilla CR,Sprintz CR,ToBinary CR,gzip CR,DFCMGorilla CR,DFCMSprintz CR
argonne,522,1789.85712,1,1.00257566,0.26,0.74,0.81,0.23719445,,
argonne,710,3599276.513,0.003101256,1.004361371,0.85,0.8,0.86,0.368724156,,
argonne,1025,1986.385502,1,1.84178499,0.12,0.53,0.76,0.072186613,,
argonne,12,562.1365746,1,1.729200653,0.07,0.58,0.79,0.058387525,,
argonne,945,58948.99929,1,2.027258392,0.04,0.55,0.85,0.042753394,,
argonne,179,2820.772716,0.004948964,1.003103662,0.73,0.73,0.8,0.388060621,,
argonne,926,11671.64042,1,1.656589147,0.05,0.62,0.84,0.055389953,,
argonne,328,562.1365746,1,1.729200653,0.12,0.61,0.84,0.060449349,,
argonne,85,Infinity,1,1.960839519,0.06,0.54,0.84,0.058996728,,
argonne,1046,20919.75351,1,1.636909464,0.14,0.61,0.81,0.073306321,,
argonne,71,44932.69046,1,2.613399728,0.09,0.42,0.79,0.0396099,,
argonne,541,73798.43371,1,2.170838823,0.05,0.46,0.77,0.038718809,,
argonne,773,77230.76463,1,1.004220003,0.21,0.57,0.61,0.27051688,,
argonne,317,1641300.199,1,1.0029843,0.21,0.55,0.59,0.271971406,,
argonne,919,10626.9166,1,1.995592181,0.06,0.61,0.92,0.053736922,,
argonne,125,168260.242,0.005411255,1.004075533,0.86,0.8,0.85,0.369559914,,
argonne,787,23635.58579,1,1.004886221,0.21,0.53,0.57,0.271441829,,
argonne,76,622681.6951,1,3.064827065,0.08,0.35,0.79,0.036199205,,
argonne,1041,3751.72522,1,1.352967626,0.15,0.65,0.78,0.10026113,,
argonne,579,180174.4589,1,2.139085546,0.06,0.51,0.84,0.048432283,,
argonne,82,73297.49424,1,1.452375691,0.11,0.62,0.76,0.070841358,,
argonne,921,Infinity,1,1.918048318,0.05,0.56,0.84,0.054939086,,
argonne,780,14793.0981,1,1.004990643,0.2,0.55,0.59,0.27677522,,
argonne,49,3193.412964,1,2.562388592,0.05,0.43,0.79,0.042090878,,
argonne,122,4905.311072,0.003124249,1.005194491,0.79,0.74,0.79,0.353800097,,
argonne,310,41120.44416,1,1.001362707,0.21,0.54,0.58,0.292657468,,
argonne,774,1639.237605,1,1.003376749,0.19,0.54,0.59,0.28263895,,
argonne,546,37102.12855,1,1.879155436,0.06,0.53,0.79,0.049454938,,
argonne,40,643.725313,1,1.446251768,0.12,0.61,0.76,0.075846913,,
argonne,789,1046.750348,1,1.005121951,0.21,0.52,0.56,0.276656173,,
argonne,319,54835.71341,1,1.552840562,0.15,0.68,0.89,0.078365804,,
argonne,917,497.3197873,1,2.155371901,0.05,0.53,0.85,0.049791181,,
argonne,1048,Infinity,1,1.512163477,0.13,0.6,0.78,0.073670644,,
argonne,584,83399.19095,1,1.659519555,0.06,0.6,0.81,0.058267299,,
argonne,742,33627.90319,1,1.002143623,0.2,0.53,0.57,0.29140625,,
argonne,570,64496.20412,1,2.184598379,0.05,0.46,0.77,0.042750899,,
argonne,928,55968.50908,1,1.711016379,0.06,0.64,0.88,0.061455084,,
argonne,114,2116.623797,0.005495192,1.006411062,0.86,0.81,0.86,0.372172309,,
argonne,326,478.7596773,1,2.118029237,0.11,0.53,0.85,0.05491007,,
argonne,548,3943.666321,1,2.007273877,0.05,0.48,0.74,0.043392476,,
argonne,910,79122.57585,1,2.990879919,0.04,0.44,0.95,0.040336281,,
argonne,47,16089.84594,1,1.467889908,0.09,0.63,0.78,0.065942449,,
argonne,321,43956.31825,1,2.079954093,0.15,0.55,0.88,0.057654036,,
argonne,113,91364.14662,0.005429108,1.003773585,0.73,0.73,0.79,0.369899431,,
argonne,577,Infinity,1,1.734196117,0.06,0.55,0.74,0.054540118,,
argonne,745,5196.765693,1,1.004455761,0.21,0.51,0.56,0.293872853,,
argonne,78,22712.23283,1,1.451219512,0.15,0.63,0.76,0.074020538,,
argonne,583,9674.805304,1,1.786574871,0.06,0.54,0.75,0.048710904,,
argonne,147,80919.48394,0.006859593,1.003010753,0.76,0.71,0.77,0.388347519,,
argonne,375,23015.5351,1,1.470460574,0.15,0.66,0.84,0.079250173,,
argonne,711,529800.1308,0.003436426,1.002506266,0.73,0.74,0.8,0.394873074,,
argonne,523,6570.261306,1,1.003773585,0.26,0.74,0.81,0.235573888,,
argonne,2,Infinity,1,1.428543268,0.11,0.67,0.83,0.084109209,,
argonne,381,3948.665243,1,1.536649215,0.05,0.64,0.81,0.056465916,,
argonne,178,381006.7,0.011467116,1.001689475,0.78,0.72,0.77,0.386683216,,
argonne,944,15812.0151,1,1.489073881,0.06,0.67,0.83,0.058687982,,
argonne,13,5737.51022,1,1.654465131,0.14,0.62,0.83,0.067433574,,
argonne,1024,89889.87933,1,1.3905521,0.16,0.65,0.8,0.0849389,,
argonne,386,1162.787959,1,2.832380517,0.07,0.41,0.87,0.042922882,,
argonne,5,7377.520557,1,1.64978226,0.14,0.55,0.75,0.060613189,,
argonne,988,6070.607885,1,1.32547345,0.16,0.65,0.77,0.086281476,,
argonne,524,15927.73568,1,1.010041923,0.28,0.77,0.84,0.213103316,,
argonne,716,322190.9606,0.001328904,1.00501002,0.69,0.7,0.75,0.405132848,,
argonne,372,15816.4373,1,1.475764868,0.13,0.67,0.83,0.060678854,,
argonne,140,8713.297334,0.003273735,1.005572442,0.73,0.73,0.8,0.378952146,,
argonne,1023,41030.47143,1,1.317177139,0.2,0.67,0.78,0.090585415,,
argonne,14,43956.31825,1,2.079954093,0.07,0.51,0.81,0.054871346,,
argonne,943,180174.4589,1,2.139085546,0.06,0.56,0.92,0.052587261,,
argonne,729,418723.8528,0.002207506,1.001821494,0.7,0.71,0.76,0.362828582,,
argonne,182,113111.7118,0.008584225,1.003746722,0.92,0.88,0.91,0.370010315,,
argonne,344,55792.58769,1,1.458548585,0.15,0.7,0.86,0.076312067,,
argonne,176,2985.882731,0.002185451,1.002190923,0.73,0.73,0.79,0.381066913,,
argonne,512,1149118.042,1,1.00481983,0.29,0.75,0.82,0.2319497,,
argonne,720,21542.62972,0.002781641,1.009126009,0.73,0.72,0.8,0.37571072,,
argonne,981,2286.731439,1,2.006479482,0.11,0.47,0.82,0.060603094,,
argonne,1015,4605.853937,1,1.32155827,0.17,0.66,0.79,0.094079093,,
argonne,22,Infinity,1,1.353593202,0.15,0.66,0.78,0.084368069,,
