File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
350,23.01,24.38,0.4,FCMGorilla
734,10.72,6.9,0.87,FCMGorilla
506,12.04,20.18,0.45,FCMGorilla
966,33.09,26.7,0.28,FCMGorilla
368,34.01,26.64,0.37,FCMGorilla
1006,18.61,14.59,0.38,FCMGorilla
31,30.66,19.67,0.25,FCMGorilla
992,32.71,30.15,0.3,FCMGorilla
501,18.66,19.01,0.42,FCMGorilla
733,10.18,13.17,0.83,FCMGorilla
357,21.12,20.39,0.23,FCMGorilla
165,8.17,6.69,0.89,FCMGorilla
959,38.16,34.58,0.22,FCMGorilla
191,8.14,12.82,0.8,FCMGorilla
1039,18.75,21.14,0.39,FCMGorilla
767,18.5,16.17,0.31,FCMGorilla
555,29.07,30.2,0.15,FCMGorilla
131,11.13,10.42,0.8,FCMGorilla
303,24.37,21.59,0.41,FCMGorilla
793,29.58,28.07,0.3,FCMGorilla
932,24.63,27.41,0.15,FCMGorilla
91,27.37,28.11,0.22,FCMGorilla
758,17.26,25.07,0.33,FCMGorilla
65,40.51,35.92,0.25,FCMGorilla
1052,17.91,15.72,0.35,FCMGorilla
794,16.63,8.4,0.31,FCMGorilla
304,14.56,18.33,0.44,FCMGorilla
136,11.05,7.76,0.88,FCMGorilla
552,25.94,27.5,0.15,FCMGorilla
760,20.23,28.68,0.31,FCMGorilla
1055,24.14,30.63,0.28,FCMGorilla
62,26.57,29.8,0.32,FCMGorilla
599,43.35,32.14,0.13,FCMGorilla
96,28.79,30.01,0.27,FCMGorilla
935,25.13,24.01,0.17,FCMGorilla
109,10.37,10.12,0.85,FCMGorilla
590,48.67,51.99,0.15,FCMGorilla
564,44.0,53.94,0.14,FCMGorilla
756,26.88,27.22,0.33,FCMGorilla
332,21.72,22.84,0.14,FCMGorilla
100,17.98,16.77,0.23,FCMGorilla
54,21.95,26.34,0.26,FCMGorilla
903,42.21,44.4,0.17,FCMGorilla
769,22.78,23.68,0.3,FCMGorilla
107,8.08,6.11,0.89,FCMGorilla
335,24.9,23.44,0.27,FCMGorilla
751,21.68,20.21,0.3,FCMGorilla
563,12.09,25.37,0.15,FCMGorilla
98,20.5,17.16,0.29,FCMGorilla
597,25.8,22.74,0.18,FCMGorilla
904,41.45,42.52,0.19,FCMGorilla
138,11.74,11.56,0.79,FCMGorilla
53,31.45,16.17,0.27,FCMGorilla
30,21.27,16.96,0.31,FCMGorilla
1007,25.22,21.88,0.31,FCMGorilla
993,34.01,34.21,0.26,FCMGorilla
369,34.37,28.14,0.31,FCMGorilla
967,27.71,16.73,0.36,FCMGorilla
190,8.09,7.59,0.78,FCMGorilla
1038,19.39,23.26,0.37,FCMGorilla
732,13.26,14.15,0.78,FCMGorilla
500,21.48,16.19,0.43,FCMGorilla
958,20.07,18.13,0.35,FCMGorilla
164,10.78,6.26,0.84,FCMGorilla
356,34.0,31.39,0.3,FCMGorilla
538,48.29,52.99,0.14,FCMGorilla
