File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
54,77.32,88.23,0.62,SprintzRef
903,62.02,80.71,0.57,SprintzRef
769,88.89,127.35,0.53,SprintzRef
107,70.01,133.7,0.8,SprintzRef
335,93.04,158.7,0.52,SprintzRef
751,118.41,198.23,0.53,SprintzRef
563,99.06,138.84,0.51,SprintzRef
98,98.14,180.0,0.54,SprintzRef
597,82.1,123.11,0.63,SprintzRef
904,108.06,157.82,0.63,SprintzRef
138,65.59,103.99,0.71,SprintzRef
53,83.38,121.28,0.63,SprintzRef
30,80.15,121.89,0.63,SprintzRef
1007,121.95,160.66,0.6,SprintzRef
993,75.57,101.8,0.59,SprintzRef
369,76.85,110.46,0.72,SprintzRef
967,111.62,165.02,0.63,SprintzRef
190,80.92,114.59,0.71,SprintzRef
1038,120.06,151.53,0.68,SprintzRef
732,74.12,116.05,0.7,SprintzRef
500,105.25,133.54,0.75,SprintzRef
958,64.74,81.13,0.66,SprintzRef
164,61.19,68.58,0.75,SprintzRef
356,54.83,54.0,0.73,SprintzRef
538,79.29,189.02,0.49,SprintzRef
960,108.02,154.49,0.66,SprintzRef
994,91.46,113.34,0.65,SprintzRef
1000,124.03,163.16,0.61,SprintzRef
37,61.34,136.01,0.61,SprintzRef
351,106.44,140.57,0.65,SprintzRef
163,114.43,149.55,0.71,SprintzRef
507,64.14,81.86,0.76,SprintzRef
735,67.59,56.94,0.72,SprintzRef
197,56.58,71.1,0.75,SprintzRef
956,63.93,77.5,0.66,SprintzRef
358,102.95,151.79,0.61,SprintzRef
1036,71.36,42.1,0.68,SprintzRef
531,52.34,123.03,0.65,SprintzRef
703,38.29,49.87,0.8,SprintzRef
367,53.38,69.75,0.73,SprintzRef
969,66.26,99.91,0.61,SprintzRef
155,47.98,71.29,0.77,SprintzRef
393,32.6,81.27,0.71,SprintzRef
1009,87.04,124.47,0.63,SprintzRef
199,57.44,75.06,0.7,SprintzRef
1031,71.23,126.12,0.51,SprintzRef
509,56.1,64.68,0.78,SprintzRef
951,65.15,83.27,0.49,SprintzRef
39,120.96,163.94,0.45,SprintzRef
394,79.07,127.08,0.6,SprintzRef
152,91.51,108.29,0.89,SprintzRef
360,124.92,174.69,0.55,SprintzRef
704,118.62,154.56,0.71,SprintzRef
536,120.78,158.91,0.67,SprintzRef
596,126.64,181.14,0.53,SprintzRef
